CDT	ID	PT	WT	TID
1:10	4	1:4	0:4	4
1:16	6	1:6	0:8	0
1:17	7	1:9	0:6	2
1:20	3	1:3	0:11	0
1:21	5	1:5	0:10	2
1:23	1	1:1	0:7	4
2:1	2	1:2	0:12	0
2:2	9	1:12	0:6	1
2:12	10	1:13	0:17	3
2:15	23	2:6	0:7	4
2:17	12	1:16	0:14	3
2:17	22	2:5	0:8	0
2:17	11	1:14	0:23	4
2:20	17	1:22	0:14	2
2:20	8	1:10	1:3	0
2:23	21	2:4	0:15	1
3:2	18	2:1	0:18	1
3:3	20	2:3	0:9	2
3:3	19	2:2	0:17	1
3:5	13	1:17	0:20	0
3:7	32	2:17	0:13	4
3:8	28	2:12	0:18	4
3:12	24	2:7	1:4	4
3:13	36	2:22	0:13	4
3:16	15	1:20	0:17	0
3:17	14	1:19	1:0	1
3:22	26	2:9	1:4	3
4:2	34	2:19	0:18	3
4:8	30	2:14	1:16	2
4:9	16	1:21	1:22	4
4:11	29	2:13	1:0	3
4:12	27	2:11	1:19	2
4:14	31	2:16	1:14	2
4:16	25	2:8	1:22	2
4:19	38	3:1	1:14	1
5:3	35	2:21	1:18	1
5:8	39	3:3	1:3	2
5:9	40	3:4	2:4	3
5:23	37	2:23	2:9	3
-------------------------------------------
-------------------------------------------
Cargos: 39[N: 8,S: 11,V: 20]
Cargo Avg Wait = 0:22
Auto-promoted Cargos: 43%
Trucks: 5[N: 2,S: 2,V: 1]
Avg Active time = 44%
Avg utilization = 30%
